run_id,row_id,model,start_time,base_commit,end_time,duration_s,status,cost_usd,patch_path,bundle_path,ended_by,edits,turns
32584be0,csv-log-validation-test,deepseek/deepseek-v4-flash-0731,2026-09-09T22:47:49.875171+00:00,,2026-09-09T22:52:39.501306+00:00,289.6,GREEN,0.006111,/home/kantord/.cache/toylang-simple-dispatch/results/csv-log-validation-test-32584be0.patch,,model_done,1,18
71c68601,dense-tensor-type-build,deepseek/deepseek-v4-flash-0731,2026-09-10T20:57:41.812742+00:00,,2026-09-10T21:03:45.044967+00:00,363.2,STUCK,0.174245,,,dedup,0,60
6fb79ad3,parallel-smoke-test,deepseek/deepseek-v4-flash-0731,2026-09-10T20:57:41.812229+00:00,,2026-09-10T21:04:56.424277+00:00,434.6,GREEN,0.011385,/home/kantord/.cache/toylang-simple-dispatch/results/parallel-smoke-test-6fb79ad3.patch,,model_done,1,15
63c69b3e,toylang-conf-yaml-build,deepseek/deepseek-v4-flash-0731,2026-09-10T20:57:41.812407+00:00,,2026-09-10T21:07:34.097713+00:00,592.3,GREEN,0.160455,/home/kantord/.cache/toylang-simple-dispatch/results/toylang-conf-yaml-build-63c69b3e.patch,,model_done,2,60
ad74ee97,http-query-sugar-build,deepseek/deepseek-v4-flash-0731,2026-09-10T22:59:56.889599+00:00,,2026-09-10T23:01:15.426548+00:00,78.5,STUCK,0.017628,,,dedup,0,22
c14723b9,dense-tensor-type-build,deepseek/deepseek-v4-flash-0731,2026-09-10T22:59:56.889538+00:00,,2026-09-10T23:01:40.929467+00:00,104.0,STUCK,0.016929,,,dedup,0,22
e1575164,toylang-conf-yaml-build,deepseek/deepseek-v4-flash-0731,2026-09-10T22:59:56.889723+00:00,,2026-09-10T23:04:38.892912+00:00,282.0,STUCK,0.031778,,,dedup,0,22
64a0432c,toylang-conf-yaml-build,deepseek/deepseek-v4-flash-0731,2026-09-10T23:15:30.152840+00:00,,2026-09-10T23:23:53.750219+00:00,503.6,STUCK,0.087285,/home/kantord/.cache/toylang-simple-dispatch/results/toylang-conf-yaml-build-64a0432c.patch,,dedup,1,38
78353c1b,dense-tensor-type-build,deepseek/deepseek-v4-flash-0731,2026-09-10T23:45:54.649393+00:00,,2026-09-10T23:47:42.428055+00:00,107.8,STUCK,0.011393,,,dedup,0,22
6493df78,dense-tensor-transpose-only,deepseek/deepseek-v4-flash-0731,2026-09-10T23:48:49.055247+00:00,,2026-09-10T23:50:14.139701+00:00,85.1,STUCK,0.012922,,,dedup,0,22
856fcb60,dense-tensor-transpose-only,deepseek/deepseek-v4-flash-0731,2026-09-10T23:51:54.260428+00:00,,2026-09-10T23:54:09.758644+00:00,135.5,STUCK,0.023121,,,dedup,0,22
8ad23ebd,dense-tensor-transpose-only,deepseek/deepseek-v4-flash-0731,2026-09-11T00:07:08.551699+00:00,,2026-09-11T00:09:27.057608+00:00,138.5,STUCK,0.020470,,,dedup,0,22
